SampleID	SampleType	Species	Latin	Treatment	SideTreatment	Treatment_all	Replicate	RootType	Divison	SubDivision	Timepoint	Plant	Root	Experiment	Notes
SO-Wk10-5C-R3-1-1	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	SingleRoot	SubRootTop	11	Wk10-C	Wk10-C-Sub1	Spatial Organization	
SO-Wk10-5C-R3-1-2	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	2	NA	SingleRoot	SubRootMiddle	11	Wk10-C	Wk10-C-Sub1	Spatial Organization	
SO-Wk10-5C-R3-1-3	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	3	NA	SingleRoot	SubRootBottom	11	Wk10-C	Wk10-C-Sub1	Spatial Organization	
SO-Wk10-5C-R3-2-1	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	SingleRoot	SubRootTop	11	Wk10-C	Wk10-C-Sub2	Spatial Organization	
SO-Wk10-5C-R3-2-2	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	2	NA	SingleRoot	SubRootMiddle	11	Wk10-C	Wk10-C-Sub2	Spatial Organization	
SO-Wk10-5-C-R3-2-3	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	3	NA	SingleRoot	SubRootBottom	11	Wk10-C	Wk10-C-Sub2	Spatial Organization	
SO-Wk10-5C-R3-3-1	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	SingleRoot	SubRootTop	11	Wk10-C	Wk10-C-Sub3	Spatial Organization	
SO-Wk10-5C-R3-3-2	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	2	NA	SingleRoot	SubRootMiddle	11	Wk10-C	Wk10-C-Sub3	Spatial Organization	
SO-Wk10-5C-R3-3-3	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	3	NA	SingleRoot	SubRootBottom	11	Wk10-C	Wk10-C-Sub3	Spatial Organization	
SO-Wk10-5C-SOIL	Soil	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	Soil	Soil	11	Wk10-C	NA	Spatial Organization	
SO-Wk10-5-C-Z1	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	AllRhizo	AllRhizo	11	Wk10-C	NA	Spatial Organization	
SO-Wk10-5-C-Z2-1	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	SingleRhizo	SingleRhizo	11	Wk10-C	NA	Spatial Organization	
SO-Wk10-5-C-Z2-2	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	2	NA	SingleRhizo	SingleRhizo	11	Wk10-C	NA	Spatial Organization	
SO-Wk10-5-C-Z2-3	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	3	NA	SingleRhizo	SingleRhizo	11	Wk10-C	NA	Spatial Organization	
SO-Wk10-5-C-Z3-1	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	SingleRhizo	SingleRhizo	11	Wk10-C	NA	Spatial Organization	
SO-Wk10-5-C-Z3-2	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	2	NA	SingleRhizo	SingleRhizo	11	Wk10-C	NA	Spatial Organization	
SO-Wk10-5-C-Z3-3	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	3	NA	SingleRhizo	SingleRhizo	11	Wk10-C	NA	Spatial Organization	
SO-Wk10-5-D-R1	Root	Sorghum	Sorghum bicolor	Drought	NA	Drought	1	NA	AllRoot	AllRoot	11	Wk10-D	Wk10-D-AllRoot	Spatial Organization	
SO-Wk10-5D-R2-1	Root	Sorghum	Sorghum bicolor	Drought	NA	Drought	1	NA	SingleRoot	SingleRoot	11	Wk10-D	Wk10-D-Single1	Spatial Organization	
SO-Wk10-5D-R2-2	Root	Sorghum	Sorghum bicolor	Drought	NA	Drought	2	NA	SingleRoot	SingleRoot	11	Wk10-D	Wk10-D-Single2	Spatial Organization	
SO-Wk10-5-D-R2-3	Root	Sorghum	Sorghum bicolor	Drought	NA	Drought	3	NA	SingleRoot	SingleRoot	11	Wk10-D	Wk10-D-Single3	Spatial Organization	
SO-Wk10-5D-R3-1-1	Root	Sorghum	Sorghum bicolor	Drought	NA	Drought	1	NA	SingleRoot	SubRootTop	11	Wk10-D	Wk10-D-Sub1	Spatial Organization	
SO-Wk10-5D-R3-1-2	Root	Sorghum	Sorghum bicolor	Drought	NA	Drought	2	NA	SingleRoot	SubRootMiddle	11	Wk10-D	Wk10-D-Sub1	Spatial Organization	
SO-Wk10-5-D-R3-1-3	Root	Sorghum	Sorghum bicolor	Drought	NA	Drought	3	NA	SingleRoot	SubRootBottom	11	Wk10-D	Wk10-D-Sub1	Spatial Organization	
SO-Wk10-5D-R3-2-1	Root	Sorghum	Sorghum bicolor	Drought	NA	Drought	1	NA	SingleRoot	SubRootTop	11	Wk10-D	Wk10-D-Sub2	Spatial Organization	
SO-Wk10-5D-R3-2-2	Root	Sorghum	Sorghum bicolor	Drought	NA	Drought	2	NA	SingleRoot	SubRootMiddle	11	Wk10-D	Wk10-D-Sub2	Spatial Organization	
SO-Wk10-5-D-R3-2-3	Root	Sorghum	Sorghum bicolor	Drought	NA	Drought	3	NA	SingleRoot	SubRootBottom	11	Wk10-D	Wk10-D-Sub2	Spatial Organization	
SO-Wk10-5D-R3-3-1	Root	Sorghum	Sorghum bicolor	Drought	NA	Drought	1	NA	SingleRoot	SubRootTop	11	Wk10-D	Wk10-D-Sub3	Spatial Organization	
SO-Wk10-5-D-R3-3-2	Root	Sorghum	Sorghum bicolor	Drought	NA	Drought	2	NA	SingleRoot	SubRootMiddle	11	Wk10-D	Wk10-D-Sub3	Spatial Organization	
SO-Wk10-5D-R3-3-3	Root	Sorghum	Sorghum bicolor	Drought	NA	Drought	3	NA	SingleRoot	SubRootBottom	11	Wk10-D	Wk10-D-Sub3	Spatial Organization	
SO-Wk10-5D-SOIL	Soil	Sorghum	Sorghum bicolor	Drought	NA	Drought	1	NA	Soil	Soil	11	Wk10-D	NA	Spatial Organization	
SO-Wk10-5-D-Z1	Rhizo	Sorghum	Sorghum bicolor	Drought	NA	Drought	1	NA	AllRhizo	AllRhizo	11	Wk10-D	NA	Spatial Organization	
SO-Wk10-5-D-Z2-1	Rhizo	Sorghum	Sorghum bicolor	Drought	NA	Drought	1	NA	SingleRhizo	SingleRhizo	11	Wk10-D	NA	Spatial Organization	
SO-Wk10-5-D-Z2-2	Rhizo	Sorghum	Sorghum bicolor	Drought	NA	Drought	2	NA	SingleRhizo	SingleRhizo	11	Wk10-D	NA	Spatial Organization	
SO-Wk10-5-D-Z2-3	Rhizo	Sorghum	Sorghum bicolor	Drought	NA	Drought	3	NA	SingleRhizo	SingleRhizo	11	Wk10-D	NA	Spatial Organization	
SO-Wk10-5-D-Z3-1	Rhizo	Sorghum	Sorghum bicolor	Drought	NA	Drought	1	NA	SingleRhizo	SingleRhizo	11	Wk10-D	NA	Spatial Organization	
SO-Wk10-5-D-Z3-2	Rhizo	Sorghum	Sorghum bicolor	Drought	NA	Drought	2	NA	SingleRhizo	SingleRhizo	11	Wk10-D	NA	Spatial Organization	
SO-Wk10-5-D-Z3-3	Rhizo	Sorghum	Sorghum bicolor	Drought	NA	Drought	3	NA	SingleRhizo	SingleRhizo	11	Wk10-D	NA	Spatial Organization	
SO-Wk2-R1	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	AllRoot	AllRoot	2	Wk2-Pre	Wk2-Pre-AllRoot	Spatial Organization	
SO-Wk2-R2-1	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	SingleRoot	SingleRoot	2	Wk2-Pre	Wk2-Pre-Single1	Spatial Organization	
SO-Wk2-R2-2	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	2	NA	SingleRoot	SingleRoot	2	Wk2-Pre	Wk2-Pre-Single2	Spatial Organization	
SO-Wk2-R2-3	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	3	NA	SingleRoot	SingleRoot	2	Wk2-Pre	Wk2-Pre-Single3	Spatial Organization	
SO-Wk2-R3-1-1	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	SingleRoot	SubRootTop	2	Wk2-Pre	Wk2-Pre-Sub1	Spatial Organization	
SO-Wk2-R3-1-2	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	2	NA	SingleRoot	SubRootMiddle	2	Wk2-Pre	Wk2-Pre-Sub1	Spatial Organization	
SO-Wk2-R3-1-3	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	3	NA	SingleRoot	SubRootBottom	2	Wk2-Pre	Wk2-Pre-Sub1	Spatial Organization	
SO-Wk2-R3-2-1	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	SingleRoot	SubRootTop	2	Wk2-Pre	Wk2-Pre-Sub2	Spatial Organization	
SO-Wk2-R3-2-2	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	2	NA	SingleRoot	SubRootMiddle	2	Wk2-Pre	Wk2-Pre-Sub2	Spatial Organization	
SO-Wk2-R3-2-3	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	3	NA	SingleRoot	SubRootBottom	2	Wk2-Pre	Wk2-Pre-Sub2	Spatial Organization	
SO-Wk2-R3-3-1	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	SingleRoot	SubRootTop	2	Wk2-Pre	Wk2-Pre-Sub3	Spatial Organization	
SO-Wk2-R3-3-2	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	2	NA	SingleRoot	SubRootMiddle	2	Wk2-Pre	Wk2-Pre-Sub3	Spatial Organization	
SO-Wk2-R3-3-3	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	3	NA	SingleRoot	SubRootBottom	2	Wk2-Pre	Wk2-Pre-Sub3	Spatial Organization	
SO-Wk2-SOIL	Soil	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	Soil	Soil	2	Wk2-Pre	NA	Spatial Organization	
SO-Wk2-Z1	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	AllRhizo	AllRhizo	2	Wk2-Pre	NA	Spatial Organization	
SO-Wk2-Z2-1	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	SingleRhizo	SingleRhizo	2	Wk2-Pre	NA	Spatial Organization	
SO-Wk2-Z2-2	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	2	NA	SingleRhizo	SingleRhizo	2	Wk2-Pre	NA	Spatial Organization	
SO-Wk2-Z2-3	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	3	NA	SingleRhizo	SingleRhizo	2	Wk2-Pre	NA	Spatial Organization	
SO-Wk2-Z3-1	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	4	NA	SingleRhizo	SingleRhizo	2	Wk2-Pre	NA	Spatial Organization	
SO-Wk2-Z3-2	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	5	NA	SingleRhizo	SingleRhizo	2	Wk2-Pre	NA	Spatial Organization	
SO-Wk2-Z3-3	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	6	NA	SingleRhizo	SingleRhizo	2	Wk2-Pre	NA	Spatial Organization	
SO-Wk3-R1	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	AllRoot	AllRoot	3	Wk3-Pre	Wk3-Pre-AllRoot	Spatial Organization	
SO-Wk3-R2-1	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	SingleRoot	SingleRoot	3	Wk3-Pre	Wk3-Pre-Single1	Spatial Organization	
SO-Wk3-R2-2	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	2	NA	SingleRoot	SingleRoot	3	Wk3-Pre	Wk3-Pre-Single2	Spatial Organization	
SO-Wk3-R2-3	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	3	NA	SingleRoot	SingleRoot	3	Wk3-Pre	Wk3-Pre-Single3	Spatial Organization	
SO-Wk3-R3-1-1	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	SingleRoot	SubRootTop	3	Wk3-Pre	Wk3-Pre-Sub1	Spatial Organization	
SO-Wk3-R3-1-2	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	2	NA	SingleRoot	SubRootMiddle	3	Wk3-Pre	Wk3-Pre-Sub1	Spatial Organization	
SO-Wk3-R3-1-3	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	3	NA	SingleRoot	SubRootBottom	3	Wk3-Pre	Wk3-Pre-Sub1	Spatial Organization	
SO-Wk3-R3-2-1	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	SingleRoot	SubRootTop	3	Wk3-Pre	Wk3-Pre-Sub2	Spatial Organization	
SO-Wk3-R3-2-2	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	2	NA	SingleRoot	SubRootMiddle	3	Wk3-Pre	Wk3-Pre-Sub2	Spatial Organization	
SO-Wk3-R3-2-3	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	3	NA	SingleRoot	SubRootBottom	3	Wk3-Pre	Wk3-Pre-Sub2	Spatial Organization	
SO-Wk3-R3-3-1	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	SingleRoot	SubRootTop	3	Wk3-Pre	Wk3-Pre-Sub3	Spatial Organization	
SO-Wk3-R3-3-2	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	2	NA	SingleRoot	SubRootMiddle	3	Wk3-Pre	Wk3-Pre-Sub3	Spatial Organization	
SO-Wk3-R3-3-3	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	3	NA	SingleRoot	SubRootBottom	3	Wk3-Pre	Wk3-Pre-Sub3	Spatial Organization	
SO-Wk3-SOIL	Soil	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	Soil	Soil	3	Wk3-Pre	NA	Spatial Organization	
SO-Wk3-Z1	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	AllRhizo	AllRhizo	3	Wk3-Pre	NA	Spatial Organization	
SO-Wk3-Z2-1	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	SingleRhizo	SingleRhizo	3	Wk3-Pre	NA	Spatial Organization	
SO-Wk3-Z2-2	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	2	NA	SingleRhizo	SingleRhizo	3	Wk3-Pre	NA	Spatial Organization	
SO-Wk3-Z2-3	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	3	NA	SingleRhizo	SingleRhizo	3	Wk3-Pre	NA	Spatial Organization	
SO-Wk3-Z3-1	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	4	NA	SingleRhizo	SingleRhizo	3	Wk3-Pre	NA	Spatial Organization	
SO-Wk3-Z3-2	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	5	NA	SingleRhizo	SingleRhizo	3	Wk3-Pre	NA	Spatial Organization	
SO-Wk3-Z3-3	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	6	NA	SingleRhizo	SingleRhizo	3	Wk3-Pre	NA	Spatial Organization	
SO-Wk9C-R1	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	AllRoot	AllRoot	9	Wk9-C	Wk9-C-AllRoot	Spatial Organization	
SO-Wk9-C-R2-1	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	SingleRoot	SingleRoot	9	Wk9-C	Wk9-C-Single1	Spatial Organization	
SO-Wk9C-R2-2	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	2	NA	SingleRoot	SingleRoot	9	Wk9-C	Wk9-C-Single2	Spatial Organization	
SO-Wk9-C-R2-3	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	3	NA	SingleRoot	SingleRoot	9	Wk9-C	Wk9-C-Single3	Spatial Organization	
SO-Wk9-C-R3-1-1	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	SingleRoot	SubRootTop	9	Wk9-C	Wk9-C-Sub1	Spatial Organization	
SO-Wk9C-R3-1-2	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	2	NA	SingleRoot	SubRootMiddle	9	Wk9-C	Wk9-C-Sub1	Spatial Organization	
SO-Wk9-C-R3-1-3	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	3	NA	SingleRoot	SubRootBottom	9	Wk9-C	Wk9-C-Sub1	Spatial Organization	
SO-Wk9C-R3-2-1	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	SingleRoot	SubRootTop	9	Wk9-C	Wk9-C-Sub2	Spatial Organization	
SO-Wk9C-R3-2-2	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	2	NA	SingleRoot	SubRootMiddle	9	Wk9-C	Wk9-C-Sub2	Spatial Organization	
SO-Wk9D-R3-3-3	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	3	NA	SingleRoot	SubRootBottom	9	Wk9-C	Wk9-C-Sub2	Spatial Organization	"Sample names swapped. Fasta file reads SO-Wk9C-R3-2-3, but should be SO-Wk9D-R3-3-3."
SO-Wk9C-SOIL	Soil	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	Soil	Soil	9	Wk9-C	NA	Spatial Organization	
SO-Wk9-C-R3-3-1	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	SingleRoot	SubRootTop	9	Wk9-C	Wk9-C-Sub3	Spatial Organization	
SO-Wk9-C-R3-3-2	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	2	NA	SingleRoot	SubRootMiddle	9	Wk9-C	Wk9-C-Sub3	Spatial Organization	
SO-Wk9-C-R3-3-3	Root	Sorghum	Sorghum bicolor	Control	NA	Watered	3	NA	SingleRoot	SubRootBottom	9	Wk9-C	Wk9-C-Sub3	Spatial Organization	
SO-Wk9-C-Z1	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	AllRhizo	AllRhizo	9	Wk9-C	NA	Spatial Organization	
SO-Wk9-C-Z2-1	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	1	NA	SingleRhizo	SingleRhizo	9	Wk9-C	NA	Spatial Organization	
SO-Wk9-C-Z2-2	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	2	NA	SingleRhizo	SingleRhizo	9	Wk9-C	NA	Spatial Organization	
SO-Wk9-C-Z2-3	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	3	NA	SingleRhizo	SingleRhizo	9	Wk9-C	NA	Spatial Organization	
SO-Wk9-C-Z3-1	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	4	NA	SingleRhizo	SingleRhizo	9	Wk9-C	NA	Spatial Organization	
SO-Wk9-C-Z3-2	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	5	NA	SingleRhizo	SingleRhizo	9	Wk9-C	NA	Spatial Organization	
SO-Wk9-C-Z3-3	Rhizo	Sorghum	Sorghum bicolor	Control	NA	Watered	6	NA	SingleRhizo	SingleRhizo	9	Wk9-C	NA	Spatial Organization	
SO-Wk9D-R1	Root	Sorghum	Sorghum bicolor	Drought	NA	Drought	1	NA	AllRoot	AllRoot	9	Wk9-D	Wk9-D-AllRoot	Spatial Organization	
SO-Wk9D-R2-1	Root	Sorghum	Sorghum bicolor	Drought	NA	Drought	1	NA	SingleRoot	SingleRoot	9	Wk9-D	Wk9-D-Single1	Spatial Organization	
SO-Wk9D-R2-2	Root	Sorghum	Sorghum bicolor	Drought	NA	Drought	2	NA	SingleRoot	SingleRoot	9	Wk9-D	Wk9-D-Single2	Spatial Organization	
SO-Wk9D-R2-3	Root	Sorghum	Sorghum bicolor	Drought	NA	Drought	3	NA	SingleRoot	SingleRoot	9	Wk9-D	Wk9-D-Single3	Spatial Organization	
SO-Wk9D-R3-1-1	Root	Sorghum	Sorghum bicolor	Drought	NA	Drought	1	NA	SingleRoot	SubRootTop	9	Wk9-D	Wk9-D-Sub1	Spatial Organization	
SO-Wk9D-R3-1-2	Root	Sorghum	Sorghum bicolor	Drought	NA	Drought	2	NA	SingleRoot	SubRootMiddle	9	Wk9-D	Wk9-D-Sub1	Spatial Organization	
SO-Wk9D-R3-1-3	Root	Sorghum	Sorghum bicolor	Drought	NA	Drought	3	NA	SingleRoot	SubRootBottom	9	Wk9-D	Wk9-D-Sub1	Spatial Organization	
SO-Wk9D-R3-2-1	Root	Sorghum	Sorghum bicolor	Drought	NA	Drought	1	NA	SingleRoot	SubRootTop	9	Wk9-D	Wk9-D-Sub2	Spatial Organization	
SO-Wk9D-R3-2-2	Root	Sorghum	Sorghum bicolor	Drought	NA	Drought	2	NA	SingleRoot	SubRootMiddle	9	Wk9-D	Wk9-D-Sub2	Spatial Organization	
SO-Wk9D-R3-2-3	Root	Sorghum	Sorghum bicolor	Drought	NA	Drought	3	NA	SingleRoot	SubRootBottom	9	Wk9-D	Wk9-D-Sub2	Spatial Organization	
SO-Wk9D-R3-3-1	Root	Sorghum	Sorghum bicolor	Drought	NA	Drought	1	NA	SingleRoot	SubRootTop	9	Wk9-D	Wk9-D-Sub3	Spatial Organization	
SO-Wk9D-R3-3-2	Root	Sorghum	Sorghum bicolor	Drought	NA	Drought	2	NA	SingleRoot	SubRootMiddle	9	Wk9-D	Wk9-D-Sub3	Spatial Organization	
SO-Wk9C-R3-2-3	Root	Sorghum	Sorghum bicolor	Drought	NA	Drought	3	NA	SingleRoot	SubRootBottom	9	Wk9-D	Wk9-D-Sub3	Spatial Organization	"Sample names swapped. Fasta file reads SO-Wk9D-R3-3-3, but should be SO-Wk9C-R3-2-3."
SO-Wk9D-SOIL	Soil	Sorghum	Sorghum bicolor	Drought	NA	Drought	1	NA	Soil	Soil	9	Wk9-D	NA	Spatial Organization	
SO-Wk9-D-Z1	Rhizo	Sorghum	Sorghum bicolor	Drought	NA	Drought	1	NA	AllRhizo	AllRhizo	9	Wk9-D	NA	Spatial Organization	
SO-Wk9-D-Z2-1	Rhizo	Sorghum	Sorghum bicolor	Drought	NA	Drought	1	NA	SingleRhizo	SingleRhizo	9	Wk9-D	NA	Spatial Organization	
SO-Wk9-D-Z2-2	Rhizo	Sorghum	Sorghum bicolor	Drought	NA	Drought	2	NA	SingleRhizo	SingleRhizo	9	Wk9-D	NA	Spatial Organization	
SO-Wk9-D-Z2-3	Rhizo	Sorghum	Sorghum bicolor	Drought	NA	Drought	3	NA	SingleRhizo	SingleRhizo	9	Wk9-D	NA	Spatial Organization	
SO-Wk9-D-Z3-1	Rhizo	Sorghum	Sorghum bicolor	Drought	NA	Drought	4	NA	SingleRhizo	SingleRhizo	9	Wk9-D	NA	Spatial Organization	
SO-Wk9-D-Z3-2	Rhizo	Sorghum	Sorghum bicolor	Drought	NA	Drought	5	NA	SingleRhizo	SingleRhizo	9	Wk9-D	NA	Spatial Organization	
SO-Wk9-D-Z3-3	Rhizo	Sorghum	Sorghum bicolor	Drought	NA	Drought	6	NA	SingleRhizo	SingleRhizo	9	Wk9-D	NA	Spatial Organization	
SOIL-FM-D1-1a	Soil	Foxtail Millet	Setaria italica	Severe Drought	NA	Drought	1a	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-FM-D1-2a	Soil	Foxtail Millet	Setaria italica	Severe Drought	NA	Drought	2a	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-FM-D1-3a	Soil	Foxtail Millet	Setaria italica	Severe Drought	NA	Drought	3a	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-FM-D2-1a	Soil	Foxtail Millet	Setaria italica	Moderate Drought	NA	Drought	1a	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-FM-D2-2a	Soil	Foxtail Millet	Setaria italica	Moderate Drought	NA	Drought	2a	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-FM-D2-3a	Soil	Foxtail Millet	Setaria italica	Moderate Drought	NA	Drought	3a	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-FM-D3-1a	Soil	Foxtail Millet	Setaria italica	Control	NA	Watered	1a	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-FM-D3-2a	Soil	Foxtail Millet	Setaria italica	Control	NA	Watered	2a	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-FM-D3-3a	Soil	Foxtail Millet	Setaria italica	Control	NA	Watered	3a	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-FM-D3-3b	Soil	Foxtail Millet	Setaria italica	Control	NA	Watered	3b	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-JM-D1-1a	Soil	Japanese Millet	Echinochloa esculenta	Severe Drought	NA	Drought	1a	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-JM-D1-2b	Soil	Japanese Millet	Echinochloa esculenta	Severe Drought	NA	Drought	2b	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-JM-D1-3b	Soil	Japanese Millet	Echinochloa esculenta	Severe Drought	NA	Drought	3b	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-JM-D2-1a	Soil	Japanese Millet	Echinochloa esculenta	Moderate Drought	NA	Drought	1a	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-JM-D2-2a	Soil	Japanese Millet	Echinochloa esculenta	Moderate Drought	NA	Drought	2a	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-JM-D2-3a	Soil	Japanese Millet	Echinochloa esculenta	Moderate Drought	NA	Drought	3a	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-JM-D3-1a	Soil	Japanese Millet	Echinochloa esculenta	Control	NA	Watered	1a	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-JM-D3-2b	Soil	Japanese Millet	Echinochloa esculenta	Control	NA	Watered	2b	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-JM-D3-3a	Soil	Japanese Millet	Echinochloa esculenta	Control	NA	Watered	3a	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-PM-D1-1a	Soil	Pearl Millet	Penisetum glaucum	Severe Drought	NA	Drought	1a	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-PM-D1-1b	Soil	Pearl Millet	Penisetum glaucum	Severe Drought	NA	Drought	1b	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-PM-D1-2a	Soil	Pearl Millet	Penisetum glaucum	Severe Drought	NA	Drought	2a	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-PM-D1-3a	Soil	Pearl Millet	Penisetum glaucum	Severe Drought	NA	Drought	3a	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-PM-D2-1a	Soil	Pearl Millet	Penisetum glaucum	Moderate Drought	NA	Drought	1a	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-PM-D2-2a	Soil	Pearl Millet	Penisetum glaucum	Moderate Drought	NA	Drought	2a	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-PM-D2-2b	Soil	Pearl Millet	Penisetum glaucum	Moderate Drought	NA	Drought	2b	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-PM-D2-3a	Soil	Pearl Millet	Penisetum glaucum	Moderate Drought	NA	Drought	3a	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-PM-D3-1a	Soil	Pearl Millet	Penisetum glaucum	Control	NA	Watered	1a	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-PM-D3-2a	Soil	Pearl Millet	Penisetum glaucum	Control	NA	Watered	2a	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-PM-D3-3a	Soil	Pearl Millet	Penisetum glaucum	Control	NA	Watered	3a	NA	NA	NA	NA	NA	NA	Drought Levels	
SOIL-PROSO-D1-1a	Soil	Proso Millet	Panicum miliaceum	Severe Drought	NA	Drought	1a	NA	NA	NA	NA	NA	NA	Drought Levels	
